date,Alpine Meadows,Aneroid Lake #2,Annie Springs,Arbuckle Mtn,Beaver Pass,Beaver Reservoir,Big Red Mountain,Bigelow Camp,Billie Creek Divide,Blazed Alder,Blewett Pass,Blue Mountain Spring,Bourne,Bowman Springs,Bumping Ridge,Bunchgrass Mdw,Cascade Summit,Chemult Alternate,Clackamas Lake,Clear Lake,Cold Springs Camp,Corral Pass,Cougar Mountain,Crazyman Flat,Daly Lake,Derr.,Diamond Lake,Dungeness,Eilertson Meadows,Elbow Lake,Fish Creek,Fish Lake,Fish Lk.,Fourmile Lake,Gold Center,Green Lake,Greenpoint,Harts Pass,High Ridge,Holland Meadows,Irish Taylor,Jump Off Joe,June Lake,Lake Creek R.S.,Little Meadows,Lone Pine,Lost Horse,Lucky Strike,Lyman Lake,MF Nooksack,Madison Butte,Mckenzie,Meadows Pass,Morse Lake,Moses Mtn           ,Moss Springs,Mount Crag,Mt Hood Test Site,Mt. Howard,Mud Ridge,New Crescent Lake,North Fork,Ochoco Meadows,Olallie Meadows,Paradise,Park Creek Ridge,Peavine Ridge,Pigtail Peak,Pope Ridge,Potato Hill,Quartz Peak,Rainy Pass,Red Hill,Rex River,Roaring River,Salmon Meadows,Salt Creek Falls,Santiam Jct.,Sasse Ridge,Schneider Meadows,Sentinel Butte,Sevenmile Marsh,Sheep Canyon,Silver Creek,Silvies             ,Skookum Creek,Snow Mountain,Spencer Meadow,Spirit Lake,Spruce Springs,Stampede Pass,Starr Ridge,Stevens Pass        ,Summer Rim,Summit Lake,Surprise Lakes,Swamp Creek,Swift Creek,Taylor Butte,Taylor Green,Three Creeks Meadow,Thunder Basin,Tinkham Creek,Tipton,Touchet,Trough,Upper Wheeler,Waterhole,Wells Creek,White Pass E.S.,Wolf Creek
11/1/88,,0%,,0%,,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,71%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,,0%,,0%,0%,0%,0%,0%,13%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,10%,,0%,0%,,0%,,0%,,0%,0%,0%,0%,0%,0%,0%,0%,29%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,,0%,0%,0%,,0%,0%,0%,0%,0%,45%,,,0%,0%,0%,0%,,0%,0%,0%,0%,,,0%,0%
11/1/89,,183%,,0%,,0%,425%,0%,400%,183%,0%,567%,500%,0%,0%,71%,129%,0%,0%,0%,450%,0%,0%,,133%,0%,200%,,500%,,157%,0%,0%,217%,0%,75%,0%,50%,0%,225%,89%,500%,0%,0%,0%,133%,,0%,29%,,0%,109%,,93%,,150%,50%,95%,220%,367%,400%,0%,0%,0%,50%,43%,350%,0%,0%,0%,0%,21%,0%,,160%,333%,0%,0%,0%,320%,,250%,140%,0%,0%,,0%,0%,0%,,0%,200%,0%,160%,154%,91%,,,0%,0%,200%,0%,,200%,143%,0%,0%,,,0%,0%
11/1/90,,25%,,0%,,0%,275%,0%,0%,0%,0%,0%,0%,0%,0%,229%,57%,200%,0%,0%,250%,142%,500%,,0%,0%,0%,,100%,,157%,100%,0%,0%,0%,100%,0%,200%,75%,200%,44%,0%,0%,0%,0%,0%,0%,200%,258%,,0%,45%,,136%,,50%,0%,137%,0%,33%,0%,0%,0%,100%,117%,300%,50%,47%,40%,0%,0%,293%,25%,,0%,100%,0%,0%,338%,0%,,0%,0%,0%,0%,,0%,0%,0%,,43%,0%,213%,0%,0%,55%,,,0%,0%,0%,0%,,0%,29%,0%,0%,,,0%,0%
11/1/91,,158%,,500%,,300%,125%,0%,950%,450%,400%,667%,550%,400%,225%,100%,571%,100%,300%,500%,1000%,208%,550%,,200%,450%,0%,,900%,,614%,133%,200%,467%,900%,188%,750%,50%,425%,475%,322%,200%,867%,800%,500%,633%,375%,600%,45%,,0%,473%,,121%,0%,317%,250%,332%,210%,867%,900%,0%,1100%,227%,217%,79%,600%,147%,260%,60%,267%,64%,363%,,720%,133%,700%,700%,163%,420%,,250%,560%,500%,425%,,850%,1250%,900%,,271%,800%,225%,380%,392%,318%,,,0%,650%,325%,60%,,450%,300%,267%,350%,,,400%,267%
11/1/92,,75%,,0%,,200%,300%,0%,0%,0%,133%,533%,50%,0%,50%,93%,29%,0%,0%,0%,200%,75%,0%,,0%,0%,0%,,300%,,357%,0%,300%,183%,0%,88%,0%,0%,0%,0%,133%,0%,0%,0%,0%,0%,150%,0%,55%,,0%,18%,,114%,500%,117%,0%,95%,90%,0%,0%,0%,0%,0%,61%,50%,0%,82%,140%,0%,0%,71%,0%,,0%,233%,0%,0%,75%,320%,,250%,20%,200%,225%,,0%,0%,0%,,29%,300%,13%,260%,69%,82%,,,0%,700%,175%,80%,,0%,57%,300%,0%,,,0%,0%
11/1/93,,0%,,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,14%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,26%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,,0%,0%,0%,,0%,0%,0%,0%,0%,0%,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,0%
11/1/94,533%,100%,,167%,,0%,150%,500%,0%,283%,900%,67%,50%,400%,900%,143%,200%,100%,800%,300%,0%,400%,600%,,333%,50%,600%,,200%,,43%,783%,400%,0%,200%,550%,450%,336%,25%,100%,111%,500%,633%,200%,467%,633%,200%,300%,184%,,200%,64%,1300%,393%,450%,83%,325%,300%,60%,100%,1000%,300%,100%,427%,328%,293%,550%,441%,560%,620%,633%,457%,175%,,0%,367%,0%,150%,388%,140%,,50%,360%,0%,25%,,200%,850%,350%,,857%,200%,613%,160%,54%,291%,,,0%,400%,25%,440%,1700%,150%,229%,1167%,800%,,,1233%,133%
11/1/95,0%,125%,,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,33%,0%,,0%,0%,0%,,0%,0%,0%,33%,0%,0%,0%,38%,0%,95%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,65%,,0%,0%,0%,0%,0%,0%,0%,0%,110%,0%,0%,0%,0%,0%,167%,14%,0%,59%,0%,0%,0%,86%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,350%,0%,0%,,114%,0%,0%,0%,0%,0%,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%
11/1/96,367%,192%,,0%,,0%,375%,0%,700%,500%,0%,333%,550%,200%,400%,393%,500%,600%,0%,0%,900%,325%,500%,,233%,100%,800%,,0%,1250%,600%,483%,1200%,350%,600%,175%,0%,232%,750%,450%,389%,450%,133%,0%,233%,167%,0%,0%,181%,,0%,400%,0%,350%,700%,583%,550%,316%,190%,0%,100%,0%,0%,427%,344%,386%,0%,271%,500%,240%,933%,243%,275%,0%,460%,200%,600%,0%,288%,520%,,550%,340%,0%,500%,0%,0%,0%,0%,,329%,0%,513%,540%,315%,218%,,,400%,850%,550%,420%,0%,600%,686%,333%,50%,,440%,0%,500%
11/1/97,0%,258%,,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,157%,0%,0%,0%,0%,0%,283%,0%,,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,213%,0%,300%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,284%,,0%,0%,0%,293%,100%,167%,0%,47%,220%,0%,0%,0%,0%,91%,0%,271%,0%,112%,0%,0%,0%,279%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,77%,0%,,,0%,0%,0%,120%,0%,0%,0%,0%,0%,,0%,0%,0%
