analyte	category	concentration	drinking	ecological
Gasoline-range	Petroleum hydrocarbons	9900	110
Diesel-range	Petroleum hydrocarbons	980	100
Heavy oil-range	Petroleum hydrocarbons	75
1,2,3-Trimethylbenzene	Volatile Organic Compounds	130
1,2,4-Trimethylbenzene	Volatile Organic Compounds	220	61
1,3,5-Trimethylbenzene	Volatile Organic Compounds	56	600
4-Isopropyltoluene	Volatile Organic Compounds	6.4
Benzene	Volatile Organic Compounds	1800	0.46	130
Ethylbenzene	Volatile Organic Compounds	140	1.5	7.3
Isopropylbenzene	Volatile Organic Compounds	34	440
m-Xylene & p-Xylene	Volatile Organic Compounds	630	190	13
Naphthalene	Volatile Organic Compounds	44	0.17	620
n-Butylbenzene	Volatile Organic Compounds	33
n-Propylbenzene	Volatile Organic Compounds	25
o-Xylene	Volatile Organic Compounds	360	190	13
sec-Butylbenzene	Volatile Organic Compounds	6.1
Styrene	Volatile Organic Compounds	1.4	1200
tert-Butylbenzene	Volatile Organic Compounds	0.51
Toluene	Volatile Organic Compounds	1600	1100	9.8
1-Methylnaphthalene	Semi-Volatile Organic Compounds	26		2.1
2-Methylnaphthalene	Semi-Volatile Organic Compounds	29
Acenaphthene	Semi-Volatile Organic Compounds	0.12	510	520
Acenaphthylene	Semi-Volatile Organic Compounds	0.29
Anthracene	Semi-Volatile Organic Compounds	0.019		13
Fluorene	Semi-Volatile Organic Compounds	0.48	280	3.9
Naphthalene	Semi-Volatile Organic Compounds	19	0.17	620
Phenanthrene	Semi-Volatile Organic Compounds	0.69		6.3
Pyrene	Semi-Volatile Organic Compounds	0.019	110
