Candidate	All	Democrats	Republicans	Independents
Ben Carson	0.39	0.17	0.69	0.37
Ted Cruz	0.34	0.14	0.60	0.33
John Kasich	0.37	0.28	0.49	0.36
Marco Rubio	0.38	0.22	0.61	0.35
Donald Trump	0.29	0.08	0.53	0.30
Hillary Clinton	0.39	0.72	0.08	0.31
Bernie Sanders	0.54	0.79	0.21	0.57
