year	Oregon Minimum Wage	Our Oregon	$15 minimum wage
2010	8.4
2011	8.5
2012	8.8
2013	8.95
2014	9.1
2015	9.25
2016	9.25
2017	9.45	11	11.5
2018	9.65	12.25	13.25
2019	9.85	13.5	15
2020	10.05	13.8	15.35
2021	10.25	14.1	15.7
2022	10.5	14.4	16.05
