Year	Jobs
1991	47
1992	76
1993	89
1994	99
1995	94
1996	88
1997	83
1998	96
1999	90
2000	95
2001	84
2002	97
2003	103
2004	89
2005	81
2006	114
2007	113
2008	128
2009	136
2010	137
2011	122
2012	122
2013	146
2014	133
