Candidate	rate
Bruce Broussard	0.04
Patty Burkett	0.01
Jules Bailey	0.09
Ted Wheeler	0.33
Eric Alexander Calhoun	0.01
Bim Ditson	0.01
Sean Davis	0.01
David Schor	0.01
Jessie Sponberg	0.01
Sarah Iannarone	0.02
David “The Ack” Ackerman	0.01
Lew Humble	0.00
Deborah Harris	0.01
Trevor Manning	0.00
Steven J. Entwisle Sr.	0.01
